[0.000000]	            SB_batch	Wait for tasks
[42465.000000]	    Resource manager	Detach Supervisor1
[42465.000000]	         Supervisor0	Processing job task51
[42465.000000]	         Supervisor1	Processing job task99
[43406.000000]	    Resource manager	Attach Supervisor1
[43406.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[43406.000000]	            SB_batch	task99 done
[44050.000000]	    Resource manager	Attach Supervisor0
[44050.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[44050.000000]	            SB_batch	task51 done
[44050.000000]	    Resource manager	Detach Supervisor2
[44050.000000]	         Supervisor2	Processing job task54
[45168.000000]	    Resource manager	Attach Supervisor2
[45168.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[45168.000000]	            SB_batch	task54 done
[45168.000000]	    Resource manager	Detach Supervisor1
[45168.000000]	         Supervisor1	Processing job task55
[46278.000000]	    Resource manager	Attach Supervisor1
[46278.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[46278.000000]	            SB_batch	task55 done
[46278.000000]	    Resource manager	Detach Supervisor0
[46278.000000]	         Supervisor0	Processing job task56
[47899.000000]	    Resource manager	Attach Supervisor0
[47899.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[47899.000000]	            SB_batch	task56 done
[47899.000000]	    Resource manager	Detach Supervisor2
[47899.000000]	         Supervisor2	Processing job task59
[48648.000000]	    Resource manager	Attach Supervisor2
[48648.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[48648.000000]	            SB_batch	task59 done
[48648.000000]	    Resource manager	Detach Supervisor1
[48648.000000]	         Supervisor1	Processing job task60
[50263.000000]	    Resource manager	Attach Supervisor1
[50263.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[50263.000000]	            SB_batch	task60 done
[50263.000000]	    Resource manager	Detach Supervisor0
[50263.000000]	    Resource manager	Detach Supervisor2
[50263.000000]	         Supervisor0	Processing job task61
[50263.000000]	         Supervisor2	Processing job task77
[51003.000000]	    Resource manager	Attach Supervisor0
[51003.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[51003.000000]	            SB_batch	task61 done
[51153.000000]	    Resource manager	Attach Supervisor2
[51153.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[51153.000000]	            SB_batch	task77 done
[51153.000000]	    Resource manager	Detach Supervisor1
[51153.000000]	         Supervisor1	Processing job task62
[52525.000000]	    Resource manager	Attach Supervisor1
[52525.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[52525.000000]	            SB_batch	task62 done
[52525.000000]	    Resource manager	Detach Supervisor0
[52525.000000]	    Resource manager	Detach Supervisor2
[52525.000000]	         Supervisor0	Processing job task63
[52525.000000]	         Supervisor2	Processing job task76
[53772.000000]	    Resource manager	Attach Supervisor0
[53772.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[53772.000000]	            SB_batch	task63 done
[53772.000000]	    Resource manager	Detach Supervisor1
[53772.000000]	         Supervisor1	Processing job task64
[53968.000000]	    Resource manager	Attach Supervisor2
[53968.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[53968.000000]	            SB_batch	task76 done
[53968.000000]	    Resource manager	Detach Supervisor0
[53968.000000]	         Supervisor0	Processing job task84
[54751.000000]	    Resource manager	Attach Supervisor1
[54751.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[54751.000000]	            SB_batch	task64 done
[55191.000000]	    Resource manager	Attach Supervisor0
[55191.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[55191.000000]	            SB_batch	task84 done
[55191.000000]	    Resource manager	Detach Supervisor2
[55191.000000]	         Supervisor2	Processing job task65
[55829.000000]	    Resource manager	Attach Supervisor2
[55829.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[55829.000000]	            SB_batch	task65 done
[55829.000000]	    Resource manager	Detach Supervisor1
[55829.000000]	         Supervisor1	Processing job task67
[56509.000000]	    Resource manager	Attach Supervisor1
[56509.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[56509.000000]	            SB_batch	task67 done
[56509.000000]	    Resource manager	Detach Supervisor0
[56509.000000]	         Supervisor0	Processing job task69
[58188.000000]	    Resource manager	Attach Supervisor0
[58188.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[58188.000000]	            SB_batch	task69 done
[58188.000000]	    Resource manager	Detach Supervisor2
[58188.000000]	         Supervisor2	Processing job task70
[59315.000000]	    Resource manager	Attach Supervisor2
[59315.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[59315.000000]	            SB_batch	task70 done
[59315.000000]	    Resource manager	Detach Supervisor1
[59315.000000]	         Supervisor1	Processing job task71
[60298.000000]	    Resource manager	Attach Supervisor1
[60298.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[60298.000000]	            SB_batch	task71 done
[60298.000000]	    Resource manager	Detach Supervisor0
[60298.000000]	         Supervisor0	Processing job task72
[61263.000000]	    Resource manager	Attach Supervisor0
[61263.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[61263.000000]	            SB_batch	task72 done
[61263.000000]	    Resource manager	Detach Supervisor2
[61263.000000]	         Supervisor2	Processing job task73
[62603.000000]	    Resource manager	Attach Supervisor2
[62603.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[62603.000000]	            SB_batch	task73 done
[62603.000000]	    Resource manager	Detach Supervisor1
[62603.000000]	         Supervisor1	Processing job task74
[64341.000000]	    Resource manager	Attach Supervisor1
[64341.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[64341.000000]	            SB_batch	task74 done
[64341.000000]	    Resource manager	Detach Supervisor0
[64341.000000]	         Supervisor0	Processing job task75
[65721.000000]	    Resource manager	Attach Supervisor0
[65721.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[65721.000000]	            SB_batch	task75 done
[65721.000000]	    Resource manager	Detach Supervisor2
[65721.000000]	         Supervisor2	Processing job task78
[66562.000000]	    Resource manager	Attach Supervisor2
[66562.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[66562.000000]	            SB_batch	task78 done
[66562.000000]	    Resource manager	Detach Supervisor1
[66562.000000]	         Supervisor1	Processing job task79
[68118.000000]	    Resource manager	Attach Supervisor1
[68118.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[68118.000000]	            SB_batch	task79 done
[68118.000000]	    Resource manager	Detach Supervisor0
[68118.000000]	         Supervisor0	Processing job task80
[69628.000000]	    Resource manager	Attach Supervisor0
[69628.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[69628.000000]	            SB_batch	task80 done
[69628.000000]	    Resource manager	Detach Supervisor2
[69628.000000]	         Supervisor2	Processing job task82
[70362.000000]	    Resource manager	Attach Supervisor2
[70362.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[70362.000000]	            SB_batch	task82 done
[70362.000000]	    Resource manager	Detach Supervisor1
[70362.000000]	         Supervisor1	Processing job task85
[71868.000000]	    Resource manager	Attach Supervisor1
[71868.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[71868.000000]	            SB_batch	task85 done
[71868.000000]	    Resource manager	Detach Supervisor0
[71868.000000]	         Supervisor0	Processing job task86
[73225.000000]	    Resource manager	Attach Supervisor0
[73225.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[73225.000000]	            SB_batch	task86 done
[73225.000000]	    Resource manager	Detach Supervisor2
[73225.000000]	         Supervisor2	Processing job task88
[75015.000000]	    Resource manager	Attach Supervisor2
[75015.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[75015.000000]	            SB_batch	task88 done
[75015.000000]	    Resource manager	Detach Supervisor1
[75015.000000]	         Supervisor1	Processing job task89
[75923.000000]	    Resource manager	Attach Supervisor1
[75923.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[75923.000000]	            SB_batch	task89 done
[75923.000000]	    Resource manager	Detach Supervisor0
[75923.000000]	    Resource manager	Detach Supervisor2
[75923.000000]	         Supervisor0	Processing job task91
[75923.000000]	         Supervisor2	Processing job task92
[77187.000000]	    Resource manager	Attach Supervisor2
[77187.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[77187.000000]	            SB_batch	task92 done
[77567.000000]	    Resource manager	Attach Supervisor0
[77567.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[77567.000000]	            SB_batch	task91 done
[77567.000000]	    Resource manager	Detach Supervisor1
[77567.000000]	         Supervisor1	Processing job task94
[79073.000000]	    Resource manager	Attach Supervisor1
[79073.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[79073.000000]	            SB_batch	task94 done
[79073.000000]	    Resource manager	Detach Supervisor2
[79073.000000]	         Supervisor2	Processing job task100
[80664.000000]	    Resource manager	Attach Supervisor2
[80664.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[80664.000000]	            SB_batch	task100 done
